# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
120.5           	3.78533060e-03
121             	4.18323546e-03
121.5           	4.61563367e-03
122             	5.08474095e-03
122.5           	5.59284378e-03
123             	6.14229562e-03
123.5           	6.73551265e-03
124             	7.37496890e-03
124.5           	8.06319094e-03
125             	8.80275195e-03
125.5           	9.59626532e-03
126             	1.04463778e-02
126.5           	1.13557619e-02
127             	1.23271085e-02
127.5           	1.33631183e-02
128             	1.44664930e-02
128.5           	1.56399270e-02
129             	1.68860972e-02
129.5           	1.82076545e-02
130             	1.96072132e-02
130.5           	2.10873413e-02
131             	2.26505510e-02
131.5           	2.42992879e-02
132             	2.60359215e-02
132.5           	2.78627347e-02
133             	2.97819145e-02
133.5           	3.17955417e-02
134             	3.39055821e-02
134.5           	3.61138767e-02
135             	3.84221330e-02
135.5           	4.08319172e-02
136             	4.33446453e-02
136.5           	4.59615763e-02
137             	4.86838051e-02
137.5           	5.15122561e-02
138             	5.44476776e-02
138.5           	5.74906370e-02
139             	6.06415158e-02
139.5           	6.39005070e-02
140             	6.72676113e-02
140.5           	7.07426356e-02
141             	7.43251915e-02
141.5           	7.80146947e-02
142             	8.18103654e-02
142.5           	8.57112293e-02
143             	8.97161192e-02
143.5           	9.38236777e-02
144             	9.80323607e-02
144.5           	1.02340441e-01
145             	1.06746013e-01
145.5           	1.11246998e-01
146             	1.15841152e-01
146.5           	1.20526070e-01
147             	1.25299192e-01
147.5           	1.30157814e-01
148             	1.35099096e-01
148.5           	1.40120067e-01
149             	1.45217636e-01
149.5           	1.50388603e-01
150             	1.55629666e-01
150.5           	1.60937430e-01
151             	1.66308421e-01
151.5           	1.71739090e-01
152             	1.77225829e-01
152.5           	1.82764978e-01
153             	1.88352834e-01
153.5           	1.93985665e-01
154             	1.99659714e-01
154.5           	2.05371217e-01
155             	2.11116403e-01
155.5           	2.16891509e-01
156             	2.22692790e-01
156.5           	2.28516525e-01
157             	2.34359024e-01
157.5           	2.40216640e-01
158             	2.46085774e-01
158.5           	2.51962885e-01
159             	2.57844492e-01
159.5           	2.63727185e-01
160             	2.69607629e-01
160.5           	2.75482571e-01
161             	2.81348842e-01
161.5           	2.87203365e-01
162             	2.93043156e-01
162.5           	2.98865332e-01
163             	3.04667109e-01
163.5           	3.10445809e-01
164             	3.16198861e-01
164.5           	3.21923801e-01
165             	3.27618276e-01
165.5           	3.33280047e-01
166             	3.38906982e-01
166.5           	3.44497064e-01
167             	3.50048390e-01
167.5           	3.55559165e-01
168             	3.61027709e-01
168.5           	3.66452449e-01
169             	3.71831924e-01
169.5           	3.77164777e-01
170             	3.82449760e-01
170.5           	3.87685726e-01
171             	3.92871630e-01
171.5           	3.98006527e-01
172             	4.03089567e-01
172.5           	4.08119995e-01
173             	4.13097146e-01
173.5           	4.18020442e-01
174             	4.22889392e-01
174.5           	4.27703584e-01
175             	4.32462687e-01
175.5           	4.37166443e-01
176             	4.41814669e-01
176.5           	4.46407246e-01
177             	4.50944126e-01
177.5           	4.55425319e-01
178             	4.59850896e-01
178.5           	4.64220982e-01
179             	4.68535757e-01
179.5           	4.72795449e-01
180             	4.77000331e-01
180.5           	4.81150721e-01
181             	4.85246978e-01
181.5           	4.89289497e-01
182             	4.93278709e-01
182.5           	4.97215075e-01
183             	5.01099087e-01
183.5           	5.04931264e-01
184             	5.08712150e-01
184.5           	5.12442308e-01
185             	5.16122325e-01
185.5           	5.19752803e-01
186             	5.23334362e-01
186.5           	5.26867632e-01
187             	5.30353260e-01
187.5           	5.33791898e-01
188             	5.37184211e-01
188.5           	5.40530868e-01
189             	5.43832545e-01
189.5           	5.47089922e-01
190             	5.50303679e-01
190.5           	5.53474503e-01
191             	5.56603077e-01
191.5           	5.59690084e-01
192             	5.62736207e-01
192.5           	5.65742126e-01
193             	5.68708517e-01
193.5           	5.71636052e-01
194             	5.74525398e-01
194.5           	5.77377219e-01
195             	5.80192169e-01
195.5           	5.82970898e-01
196             	5.85714049e-01
196.5           	5.88422257e-01
197             	5.91096148e-01
197.5           	5.93736343e-01
198             	5.96343451e-01
198.5           	5.98918075e-01
199             	6.01460808e-01
199.5           	6.03972233e-01
200             	6.06452927e-01
200.5           	6.08903453e-01
201             	6.11324370e-01
201.5           	6.13716222e-01
202             	6.16079548e-01
202.5           	6.18414875e-01
203             	6.20722722e-01
203.5           	6.23003597e-01
204             	6.25257999e-01
204.5           	6.27486419e-01
205             	6.29689337e-01
205.5           	6.31867224e-01
206             	6.34020543e-01
206.5           	6.36149747e-01
207             	6.38255279e-01
207.5           	6.40337577e-01
208             	6.42397065e-01
208.5           	6.44434163e-01
209             	6.46449281e-01
209.5           	6.48442819e-01
210             	6.50415170e-01
210.5           	6.52366721e-01
211             	6.54297849e-01
211.5           	6.56208922e-01
212             	6.58100304e-01
212.5           	6.59972349e-01
213             	6.61825404e-01
213.5           	6.63659809e-01
214             	6.65475898e-01
214.5           	6.67273996e-01
215             	6.69054424e-01
215.5           	6.70817495e-01
216             	6.72563515e-01
216.5           	6.74292783e-01
217             	6.76005595e-01
217.5           	6.77702239e-01
218             	6.79382995e-01
218.5           	6.81048142e-01
219             	6.82697949e-01
219.5           	6.84332681e-01
220             	6.85952598e-01
220.5           	6.87557954e-01
221             	6.89148999e-01
221.5           	6.90725976e-01
222             	6.92289125e-01
222.5           	6.93838679e-01
223             	6.95374867e-01
223.5           	6.96897916e-01
224             	6.98408043e-01
224.5           	6.99905465e-01
225             	7.01390393e-01
225.5           	7.02863034e-01
226             	7.04323590e-01
226.5           	7.05772260e-01
227             	7.07209237e-01
227.5           	7.08634712e-01
228             	7.10048872e-01
228.5           	7.11451898e-01
229             	7.12843970e-01
229.5           	7.14225263e-01
